username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0905-3-hfx,18.0,word,1693888721.9949324,808.0,241.0,2.8284271247461903,23.0,0.0
0905-3-hfx,18.0,word,1693888722.0120227,811.0,239.0,3.605551275463989,23.0,0.0
0905-3-hfx,18.0,word,1693888722.0434904,814.0,237.0,3.605551275463989,23.0,0.0
0905-3-hfx,18.0,word,1693888722.075672,816.0,235.0,2.8284271247461903,23.0,0.0
0905-3-hfx,18.0,word,1693888722.108179,819.0,233.0,3.605551275463989,23.0,0.0
0905-3-hfx,18.0,word,1693888722.139531,822.0,231.0,3.605551275463989,23.0,0.0
0905-3-hfx,18.0,word,1693888722.1556203,824.0,229.0,2.8284271247461903,23.0,0.0
0905-3-hfx,18.0,word,1693888722.1889057,827.0,228.0,3.1622776601683795,23.0,0.0
0905-3-hfx,18.0,word,1693888722.2198958,816.0,222.0,12.529964086141668,23.0,0.0
0905-3-hfx,18.0,word,1693888722.25139,783.0,214.0,33.95585369269929,23.0,0.0
0905-3-hfx,18.0,word,1693888722.2836866,738.0,204.0,46.09772228646444,23.0,0.0
0905-3-hfx,18.0,word,1693888722.3159046,696.0,195.0,42.95346318982906,23.0,0.0
0905-3-hfx,18.0,word,1693888722.3480437,664.0,186.0,33.24154027718932,23.0,0.0
0905-3-hfx,18.0,word,1693888722.38005,626.0,181.0,38.3275357934736,23.0,0.0
0905-3-hfx,18.0,word,1693888722.396024,589.0,180.0,37.01351104664349,23.0,0.0
0905-3-hfx,18.0,word,1693888722.4274037,563.0,179.0,26.019223662515376,23.0,0.0
0905-3-hfx,18.0,word,1693888722.4608653,544.0,177.0,19.1049731745428,23.0,0.0
0905-3-hfx,18.0,word,1693888722.4914055,531.0,175.0,13.152946437965904,23.0,0.0
0905-3-hfx,18.0,word,1693888722.5234332,521.0,173.0,10.198039027185567,23.0,0.0
0905-3-hfx,18.0,word,1693888722.5556903,508.0,165.0,15.264337522473747,23.0,0.0
0905-3-hfx,18.0,word,1693888722.5878994,500.0,158.0,10.63014581273465,23.0,0.0
0905-3-hfx,18.0,word,1693888722.6200693,493.0,151.0,9.899494936611664,23.0,0.0
0905-3-hfx,18.0,word,1693888722.6521647,487.0,144.0,9.219544457292889,23.0,0.0
0905-3-hfx,18.0,word,1693888722.6682165,483.0,139.0,6.4031242374328485,23.0,0.0
