original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-1-hm,12.0,word,1693880380.4022484,1052.0,392.0,3.605551275463989,11.0,0.0,9,3
1,0905-1-hm,12.0,word,1693880380.4252217,1049.0,390.0,3.605551275463989,11.0,0.0,9,3
2,0905-1-hm,12.0,word,1693880380.4578078,1047.0,387.0,3.605551275463989,11.0,0.0,9,3
3,0905-1-hm,12.0,word,1693880380.4899044,1045.0,385.0,2.8284271247461903,11.0,0.0,9,3
4,0905-1-hm,12.0,word,1693880380.5057895,1042.9999999999998,382.9999999999999,2.8284271247461903,11.0,0.0,9,3
5,0905-1-hm,12.0,word,1693880380.5378144,1041.9999999999998,381.9999999999999,1.4142135623730951,11.0,0.0,9,3
6,0905-1-hm,12.0,word,1693880380.5692544,1041.9999999999998,380.0,2.0,11.0,0.0,9,3
7,0905-1-hm,12.0,word,1693880380.6017172,1041.9999999999998,381.0,1.0,11.0,0.0,9,3
8,0905-1-hm,12.0,word,1693880380.634089,1041.9999999999998,380.0,1.0,11.0,0.0,9,3
9,0905-1-hm,12.0,word,1693880380.6661725,1023.9999999999998,370.9999999999999,20.12461179749811,11.0,0.0,10,3
10,0905-1-hm,12.0,word,1693880380.6974592,975.9999999999998,344.9999999999999,54.589376255824725,11.0,0.0,2,2
11,0905-1-hm,12.0,word,1693880380.729355,923.9999999999998,317.99999999999994,58.59180830116101,11.0,0.0,2,1
12,0905-1-hm,12.0,word,1693880380.7617056,885.9999999999999,295.99999999999994,43.9089968002003,11.0,0.0,4,1
13,0905-1-hm,12.0,word,1693880380.7771173,862.0000000000001,281.99999999999994,27.784887978899608,11.0,0.0,4,1
14,0905-1-hm,12.0,word,1693880380.8100274,845.9999999999999,274.0,17.88854381999832,11.0,0.0,4,1
15,0905-1-hm,12.0,word,1693880380.8421595,836.9999999999999,268.99999999999994,10.295630140987,11.0,0.0,4,0
16,0905-1-hm,12.0,word,1693880380.8733428,810.9999999999999,265.99999999999994,26.1725046566048,11.0,0.0,4,0
17,0905-1-hm,12.0,word,1693880380.9055014,765.9999999999998,264.0,45.044422518220834,11.0,0.0,3,0
18,0905-1-hm,12.0,word,1693880380.9375892,732.9999999999999,261.0,33.13608305156178,11.0,0.0,4,0
19,0905-1-hm,12.0,word,1693880380.9694772,711.0,259.99999999999994,22.02271554554524,11.0,0.0,5,0
20,0905-1-hm,12.0,word,1693880381.0014758,696.0000000000001,258.0,15.132745950421556,11.0,0.0,5,0
21,0905-1-hm,12.0,word,1693880381.0334792,687.0,257.99999999999994,9.0,11.0,0.0,6,0
22,0905-1-hm,12.0,word,1693880381.0495944,663.9999999999999,258.99999999999994,23.021728866442675,11.0,0.0,7,0
23,0905-1-hm,12.0,word,1693880381.081205,641.9999999999999,262.99999999999994,22.36067977499789,11.0,0.0,12,0
24,0905-1-hm,12.0,word,1693880381.1131165,624.0,266.0,18.24828759089466,11.0,0.0,11,0
